rebalance_date,ticker,posterior,earnings_date,earnings_day_return,ret_m1_p1,ret_0_p2,full_hold_return
2019-04-30,AEE,0.788721,2019-05-10,0.019332,0.045403,0.027121,0.007833
2019-04-30,GRMN,0.772023,2019-05-01,-0.066247,-0.078399,-0.072195,-0.108001
2019-04-30,FICO,0.77166,2019-04-30,-0.000214,-0.045051,-0.026125,0.05773
2019-06-28,AEP,0.809822,2019-07-25,-0.005914,-0.006257,0.001451,-0.002272
2019-06-28,CINF,0.798704,2019-07-30,-0.00367,-0.004637,0.000283,0.035304
2019-06-28,PEP,0.796401,2019-07-09,-0.006186,0.01045,0.013504,-0.025318
2019-06-28,VRSN,0.793123,2019-07-25,-0.004566,0.003893,-0.005995,0.009227
2019-07-31,IIPR,0.801695,2019-08-08,-0.018497,-0.009087,-0.059928,-0.156241
2019-07-31,TSCO,0.787761,2019-08-08,0.032173,0.01769,-0.029902,-0.060448
2019-07-31,YUM,0.763807,2019-08-09,0.01449,0.002409,-0.001619,0.041619
2019-09-30,ENPH,0.825491,2019-10-29,-0.009827,-0.235845,-0.236242,-0.125956
2019-09-30,AEP,0.773602,2019-10-24,0.013554,0.002124,-0.01133,0.007472
2019-09-30,BRO,0.759022,2019-10-30,0.010185,0.050753,0.008577,0.044925
2019-09-30,SYK,0.755084,2019-10-30,-0.015599,0.011932,-0.035188,-0.000139
2019-09-30,CMG,0.745214,2019-10-23,-0.051596,-0.062475,-0.051981,-0.074137
2019-10-31,AEE,0.758796,2019-11-08,-0.010988,-0.019454,-0.005762,-0.043372
2019-10-31,SEDG,0.755105,2019-11-07,-0.000125,-0.063889,0.014516,-0.03943
2019-10-31,AWR,0.736838,2019-11-04,-0.033886,-0.048775,-0.048226,-0.100196
2019-10-31,YUM,0.734747,2019-11-05,-0.005282,0.004416,0.012291,-0.005968
2020-01-31,CMG,0.756351,2020-02-05,-0.034821,-0.01191,-0.023282,-0.107504
2020-01-31,DOV,0.732061,2020-02-14,0.002509,0.000584,-0.019321,-0.093483
2020-01-31,CLH,0.72948,2020-02-26,-0.043633,-0.140546,-0.145526,-0.154464
2020-01-31,LDOS,0.71043,2020-02-18,0.092279,0.063926,0.057264,0.021698
2020-01-31,RNR,0.709726,2020-02-07,0.007028,0.027673,0.029745,-0.100507
2020-02-28,HE,0.728516,2020-02-28,-0.045029,-0.04125,0.001561,0.004902
2020-03-31,CSGP,0.768841,2020-04-29,0.070792,0.049389,0.024299,0.103966
2020-03-31,BRO,0.758706,2020-04-29,0.029213,0.004757,-0.015168,-0.008558
2020-04-30,CCOI,0.804385,2020-05-07,-0.083538,-0.067075,-0.11076,-0.079085
2020-04-30,NVDA,0.798339,2020-05-21,-0.021711,0.02507,-0.028121,0.214657
2020-04-30,CABO,0.789265,2020-05-11,0.035571,-0.009617,0.01338,-0.012367
2020-04-30,CWEN,0.789028,2020-05-07,0.030242,0.034958,0.083165,0.104528
2020-04-30,CHTR,0.776522,2020-05-01,0.029098,0.042574,0.036771,0.098479
2020-06-30,TYL,0.831859,2020-07-29,0.010108,-0.025203,0.028768,0.029895
2020-06-30,CDNS,0.810423,2020-07-20,0.03462,0.049655,0.034321,0.138496
2020-07-31,NVDA,0.897034,2020-08-19,-0.009971,-0.015887,0.03448,0.259992
2020-07-31,CLX,0.840811,2020-08-13,-0.009914,0.008772,-0.000749,-0.055008
2020-07-31,REGN,0.838109,2020-08-05,-0.036874,-0.037152,-0.04352,-0.019207
2020-07-31,HALO,0.832101,2020-08-10,-0.011391,-0.036556,-0.014153,0.066569
2020-07-31,BL,0.819211,2020-08-07,-0.136883,-0.194558,-0.209518,-0.017321
